code,nameTh,nameEn,regionId,geographyCode
38,"เชียงใหม่","Chiang Mai",1,"N"
39,"ลำพูน","Lamphun",1,"N"
40,"ลำปาง","Lampang",1,"N"
42,"แพร่","Phrae",1,"N"
43,"น่าน","Nan",1,"N"
44,"พะเยา","Phayao",1,"N"
45,"เชียงราย","Chiang Rai",1,"N"
46,"แม่ฮ่องสอน","Mae Hong Son",1,"N"
41,"อุตรดิตถ์","Uttaradit",2,"N"
50,"ตาก","Tak",2,"W"
51,"สุโขทัย","Sukhothai",2,"C"
52,"พิษณุโลก","Phitsanulok",2,"C"
54,"เพชรบูรณ์","Phetchabun",2,"C"
9,"ชัยนาท","Chai Nat",3,"C"
47,"นครสวรรค์","Nakhon Sawan",3,"C"
48,"อุทัยธานี","Uthai Thani",3,"C"
49,"กำแพงเพชร","Kamphaeng Phet",3,"C"
53,"พิจิตร","Phichit",3,"C"
3,"นนทบุรี","Nonthaburi",4,"C"
4,"ปทุมธานี","Pathum Thani",4,"C"
5,"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",4,"C"
6,"อ่างทอง","Ang Thong",4,"C"
7,"ลพบุรี","Loburi",4,"C"
8,"สิงห์บุรี","Sing Buri",4,"C"
10,"สระบุรี","Saraburi",4,"C"
17,"นครนายก","Nakhon Nayok",4,"C"
55,"ราชบุรี","Ratchaburi",5,"W"
56,"กาญจนบุรี","Kanchanaburi",5,"W"
57,"สุพรรณบุรี","Suphan Buri",5,"C"
58,"นครปฐม","Nakhon Pathom",5,"C"
59,"สมุทรสาคร","Samut Sakhon",5,"C"
60,"สมุทรสงคราม","Samut Songkhram",5,"C"
61,"เพชรบุรี","Phetchaburi",5,"W"
62,"ประจวบคีรีขันธ์","Prachuap Khiri Khan",5,"W"
2,"สมุทรปราการ","Samut Prakan",6,"C"
11,"ชลบุรี","Chon Buri",6,"E"
12,"ระยอง","Rayong",6,"E"
13,"จันทบุรี","Chanthaburi",6,"E"
14,"ตราด","Trat",6,"E"
15,"ฉะเชิงเทรา","Chachoengsao",6,"E"
16,"ปราจีนบุรี","Prachin Buri",6,"E"
18,"สระแก้ว","Sa Kaeo",6,"E"
28,"ขอนแก่น","Khon Kaen",7,"NE"
32,"มหาสารคาม","Maha Sarakham",7,"NE"
33,"ร้อยเอ็ด","Roi Et",7,"NE"
34,"กาฬสินธุ์","Kalasin",7,"NE"
77,"บึงกาฬ","buogkan",8,"NE"
27,"หนองบัวลำภู","Nong Bua Lam Phu",8,"NE"
29,"อุดรธานี","Udon Thani",8,"NE"
30,"เลย","Loei",8,"NE"
31,"หนองคาย","Nong Khai",8,"NE"
35,"สกลนคร","Sakon Nakhon",8,"NE"
36,"นครพนม","Nakhon Phanom",8,"NE"
19,"นครราชสีมา","Nakhon Ratchasima",9,"NE"
20,"บุรีรัมย์","Buri Ram",9,"NE"
21,"สุรินทร์","Surin",9,"NE"
25,"ชัยภูมิ","Yasothon",9,"NE"
22,"ศรีสะเกษ","Si Sa Ket",10,"NE"
23,"อุบลราชธานี","Ubon Ratchathani",10,"NE"
24,"ยโสธร","Yasothon",10,"NE"
26,"อำนาจเจริญ","Amnat Charoen",10,"NE"
37,"มุกดาหาร","Mukdahan",10,"NE"
63,"นครศรีธรรมราช","Nakhon Si Thammarat",11,"S"
64,"กระบี่","Krabi",11,"S"
65,"พังงา","Phangnga",11,"S"
66,"ภูเก็ต","Phuket",11,"S"
67,"สุราษฎร์ธานี","Surat Thani",11,"S"
68,"ระนอง","Ranong",11,"S"
69,"ชุมพร","Chumphon",11,"S"
70,"สงขลา","Songkhla",12,"S"
71,"สตูล","Satun",12,"S"
72,"ตรัง","Trang",12,"S"
73,"พัทลุง","Phatthalung",12,"S"
74,"ปัตตานี","Pattani",12,"S"
75,"ยะลา","Yala",12,"S"
76,"นราธิวาส","Narathiwat",12,"S"
1,"กรุงเทพมหานคร","Bangkok",13,"C"
